8859_1,,
, This file is a mapping of all of the categories to their descriptions
back, "Messages pour le suivi de la page de retour"
bagdump, "Videz chacun des articles de catalogue transformés durant l'importation"
bagmetrics, "Mesures de débogage pour la gestion des paniers du catalogue (article de catalogue)"
base, "Journalisation générale pour l'élément de base"
bindings, "Messages pour le suivi des associations de pages HTML"
cXML, "Messages de canal cXML"
cXML.channel, "Messages de canal cXML"
cXML.configuration, "Messages de configuration de canal cXML"
cXML.detail, "Messages détaillés XML de canal cXML"
cXML.document, "Messages de trafic XML de canal cXML"
cXML.encoding, "Messages de codage de canal cXML"
cXML.encodingParse, "Messages d'état de codage de canal cXML"
cXML.transport, "Messages relatifs au transport réseau de canal cXML"
cache, "Messages divers provenant de la mémoire cache objet"
catremote, "Suivi du noeud de catalogue à la communication de noeud"
catalog, "Information générale sur le catalogue"
catalog.type, "Suivi de la gestion du type de catalogue"
catalogCache, "Désapprouvé - Actions de mémoire cache catalogue"
catalogSearch, "Désapprouvé - Information de recherche de catalogue de haut niveau"
catalogdeprecated, "Catégorie principale pour les catégories de journal de catalogue désapprouvées"
cataloglow, "Suivi de catalogue de bas niveau"
catalogmetrics, "Enregistrez dans un journal les performances associées aux recherches de catalogue et à la charge"
categoryProcurement, "Suivi de la fonction liée à l'approvisionnement de la catégorie"
categoryDefinitionPropertyAccess, "Suivi des propriétés de la visibilité et des modifications de la définition de catégorie"
categoryDefinitionPropertyCompliance, "Suivi de la conformité aux valeurs des propriétés de la définition de catégorie"
categoryDefinitionPropertyUpdate, "Suivi de la mise à jour des valeurs des propriétés de la définition de catégorie"
catimages, "Enregistrer les images du catalogue"
cgi, "Messages de débogage de connexion CGI"
channelIO, "Messages utilitaires de canal IO"
channelTibcoMaster, "Tous les messages de canal Tibco"
channelutil, "Messages utilitaires de canal cXML"
choosers, "Tous les sélecteurs et les messages associés de contrôleur de champ"
clientQuery, "Suivi des demandes côté client"
clusterGets, "Afficher les récupérations de grappe"
clusterLocks, "Afficher les verrouillages/déverrouillages de grappe"
collaboration, "Suivi des données liées à la collaboration"
collaborationWF, "Suivi des données liées à la collaboration de la main-d'oeuvre"
commandline, "Journalisation de la rétroaction d'application de ligne de commande"
comments, "Suivi des informations d'article de commentaires"
configure, "Enregistrez l'activité de l'outil de configuration (configuration et génération de codes)"
connect, "Connexions et déconnexions client"
constraints, "Messages relatifs aux contraintes"
controllers, "Messages relatifs aux contrôleurs de champ"
currency, "Information relative aux devises et à la monnaie"
customApprover, "Messages associés aux codes client écrits pour exécuter des approbations externes spéciales"
customer, "Messages relatifs aux codes client"
cxml, "Suivi du PunchOut CXML"
cxmlbase, "Messages d'intégration Buyer de canal cXML"
cxmlbase.transaction, "Messages d'intégration des transactions Buyer de canal cXML"
cxmlinterop, "Catégorie de journalisation générale pour module d'interopérabilité cxml."
cxmlinteropcommandline, "Désapprouvé - Catégorie de journalisation non utilisée"
cxmlinteropdump, "Catégorie de débogage détaillée qui vide le message traité"
cxmlinterophistory, "Désapprouvé - Catégorie de journalisation non utilisée"
cxmlinteroplow, "Désapprouvé - Catégorie de journalisation non utilisée"
cxmlOcAsn, "Processus de suivi de la logique commune de la confirmation des commandes et des avis d'expédition anticipée"
dashboard, "Messages du tableau de bord"
dbtop, "Opérations de base de données de haut niveau"
duplicate, "Duplication d'objet"
duplicateaml, "Propriétés AML en double"
editability, "Suivi du caractère modifiable des champs"
environment, "Messages relatifs aux paramètres système"
event, "Événements de flux des opérations"
eventQueue, "Suivi de la file d'attente des événements"
expense, "Note de frais"
expenseExport, "Exporter les données de Ariba mForm"
expenseMobile, "Messages relatifs à Client Mobile du serveur Ariba Buyer"
extracosts, "Coûts supplémentaires"
fetch, "Demandes client au serveur pour objets"
fieldProperties, "Messages relatifs aux propriétés de champ de traitement"
fields, "Messages relatifs aux programmes de formatage de champ de traitement"
fileChannelConfiguration, "Messages de configuration de canal de fichier"
fileChannelEncoder, "Messages de codeur de canal de fichier"
fileChannelIO, "Messages relatifs à l'entrée/sortie de canal de fichier"
fileChannelMaster, "Tous les messages de canal de fichier"
fileIO, "Messages relatifs à l'entrée/sortie du fichier journal"
fileExport, "Messages relatifs à l'exportation de canal de fichier"
folder, "Événements de chargement de dossier"
general, "Messages de journal généraux"
grid, "Messages relatifs aux activités des grilles et des cellules en matière de conditions tarifaires des contrats"
group, "Suivi de la génération de l'affichage de groupe"
harness, "Messages relatifs au faisceau"
harnessContext, "Messages pour les objets enregistrés/récupérés dans le contexte"
harnessDetails, "Messages de débogage relatifs au faisceau"
help, "Messages associés à l'accès aux pages d'aide"
html, "Suivi de la sortie source HTML uniquement. AWF enregistre dans un journal la génération HTML et les fonctionnements internes"
httpChannelConfiguration, "Messages associés à la configuration du canal HTTP"
httpChannelEncoder, "Message associé au codage/décodage dans le canal HTTP"
httpChannelMaster, "Tous les messages du canal HTTP"
httpIO, "Enregistre les messages du canal HTTP relatifs à l'entrée-sortie"
i18n, "Mondialisation et ressources localisées"
integrationConfiguration, "Journalisation de la configuration d'intégration"
integrationConfigurationDetails, "Journalisation des détails de la configuration d'intégration"
integrationDecoder, "Journalisation du décodeur d'intégration"
integrationEncoder, "Journalisation de l'encodage d'intégration"
integrationEvent, "Messages d'événements d'intégration"
integrationExternal, "Tous les messages publiés à partir des processus externes lancés par Ariba"
integrationMaster, "Journalisation principale d'intégration"
integrationMeta, "Journalisation des métadonnées d'intégration"
integrationMetaDetails, "Journalisation des détails des métadonnées d'intégration"
integrationMigration, "Journalisation de la conversion d'intégration"
integrationObjectAPI, "Tous les messages relatifs à API objet d'intégration"
integrationObjectAdapter, "Tous les messages relatifs à l'adaptateur d'objet d'intégration"
integrationObjectAdapterDetails, "Tous les messages détaillés relatifs à l'adaptateur d'objet d'intégration"
integrationObjectNotifications, "Messages relatifs aux avis d'objet d'intégration"
integrationReceive, "Événements de réception d'intégration"
integrationSend, "Messages relatifs à l'envoi d'intégration"
integrationTask, "Journalisation des tâches d'intégration"
integrationTop, "Identifiez les événements qui se trouvent dans la file d'attente du serveur Ariba"
integrationUtil, "Messages provenant de classes de programme utilitaire d'intégration"
integrationVendor_CSV, "Tous les messages de canal d'intégration CSV"
integrationVendor_Tibco, "Tous les messages de canal d'intégration Tibco"
integrationVendor_TibcoDetails, "Tous les messages détaillés de canal d'intégration Tibco"
integrationVendor_TibcoMPQueueSend, "Tous les messages d'intégration pour événement d'envoi avec appui multiplexeur"
integrationVendor_Tibco_TPM, "Messages du Gestionnaire de processus Tibco"
integrationVendor_Tibco_TPMDetails, "Messages détaillés du Gestionnaire de processus Tibco"
invoiceLoading, "Suivi des données sur la lecture des factures"
invoicing, "Suivi de l'information de facturation"
invoicingPerf, "Suivi de l'information des performances de facturation"
invoicingUI,  "Suivi des données d'interface utilisateur associées aux factures"
irEditability, "Suivi de la modification et de la validation de documents de rapprochement de factures"
isDriver, "Messages relatifs aux pilotes"
isError, "Messages d'erreur du serveur d'intégration"
isMapping, "Messages de mappage"
isMaster, "Messages de serveurs d'intégration, y compris isServer, aribaISServer et isDriver"
isMeta, "Messages relatifs aux métadonnées"
isMisc, "Messages divers de serveur d'intégration"
isServer, "Messages envoyés au serveur d'intégration"
j2ee, "Messages associés à l'utilisation des technologies J2EE"
javascript, "Messages associés à l'exécution JavaScript"
jdbc, "Mode d'isolation des avertissements et des transactions JDBC de la base de données"
jdbcperf, "Messages d'enregistrement des statistiques sur la performance du pilote JDBC"
kitting, "Suivi lié aux trousses de catalogues (p. ex. collections d'articles de catalogue)"
laborKit, "Suivi de la trousse du travail"
layout, "Compilation en cours du schéma depuis XML"
locale, "Information de débogage associée à la LocaleID"
lockSnoop, "Furetage de verrouillage de bas niveau pour le débogage d'interblocages et de ReadLocks retenus"
login, "Connexions et déconnexions client"
lruCheck, "Exécutez des contrôles de cohérence pour les tableaux LRU"
lruDebug, "Videz les tableaux LRU lors du redimensionnement et de la purge (incitation prolixe avec IruCheck)"
lruPurge, "Notez les objets retirés des tableaux LRU"
maPricing, "Suivi des données sur les conditions tarifaires"
mapCluster, "Imprimez une ligne pour chacun des objets mappés pour le client"
mapIds, "Mappages côté serveur d'ID dans des objets"
massEdit,  "Suivi des données sur les modifications par lots"
massEditLow,  "Suivi des modifications par lots (bas niveau)"
masterAgreement, "Suivi des données associées aux contrats"
masterAgreementUI, "Suivi des données d'interface utilisateur associées aux contrats"
messaging, "Information touchant à l'infrastructure de la messagerie"
meta, "Traitement des métadonnées"
metaDataResolver, "Messages associés au résolveur XML de métadonnées"
metaValidation, "Validation des métadonnées"
migration, "Messages associés à la conversion"
migrationDetails, "Messages de débogage associés à la conversion"
mobile, "Messages relatifs à Client Mobile"
modify, "Modifiez les opérations"
nestedSession, "Suivi de session imbriquée"
net, "Messages associés au réseau"
notification, "Messages associés aux notifications par courriel"
objectOperations, "Enregistrements de bas niveau et opérations de définition de champ"
objectViewers, "Tous les messages de visualiseur de détails d'objet"
onClient, "Suivi des transactions du client"
orderConfirmation, "Suivi du processus de confirmation des commandes"
ordering, "Suivi du progrès relatif au formattage et à la transmission de commandes"
page, "Suivi de la génération de pages"
paramReference, "Suivi des données des applications partagées (AppInfo)"
partner, "Catégorie pour les messages partenaire Ariba"
payment, "Suivi des activités de paiement de factures"
paymentTerms, "Suivi des informations relatives aux modalités de paiement"
pcard, "Suivi du traitement des cartes d'achat et du chargement des frais"
perfLog, "Journalisation des performances"
portlet, "Production du contenu du portlet"
preferences, "Affichez les activités de définition de préférences client"
pricing, "Suivi des conditions tarifaires"
printOnMap, "Imprimez les grappes lorsqu'elles sont mappées vers le client"
procurement, "Suivi de l'information d'approvisionnement"
psoftAdapter, "Messages associés à PeopleSoft"
punchout, "Suivi de l'information PunchOut"
query, "Opérations de demande"
queryperf, "Information sur les performances de demandes AQL"
receiving, "Suivi de l'information de réception"
receivingDetail, "Suivi de l'information de réception plus détaillée"
recentUserChoice, "Suivi de l'information récente sur les choix utilisateur"
reconciliation, "Suivi de la production de factures et des exceptions de rapprochement"
record, "Information d'article Historique"
report, "Suivi de l'information sur l'établissement de rapports"
requisitioning, "Suivi de l'information de demande d'achat"
rpcPerf, "Information d'appel de procédure à distance de plus haut niveau pour la mise au point du StartupProfile"
rpcRecv, "Toutes les réceptions d'appels de procédure à distance"
rpcSend, "Tous les envois d'appels de procédure à distance"
rpcStatus, "Affichez le statut des appels de procédure à distance en instance"
rpcWarning, "Avertissements relatifs aux retards d'appels de procédure à distance"
rules, "Suivi de l'information sur les règles"
runtime,  "Exécution de bas niveau"
sapadapter, "Messages relatifs à SAP"
save, "Enregistrements du client"
saveSubs, "Enregistrement et rétablissement d'abonnements"
scheduler, "Suivi du moteur de planification"
script, "Messages provenant de scripts"
searchui, "Suivi associé à l'interface utilisateur de recherche de catalogue"
security, "Messages associés à la sécurité"
selectClusterRoot, "Messages de reconstitution d'objets"
serverCache, "Messages de gestion de la mémoire cache du serveur"
serverMonitor, "Opérations de surveillance du serveur"
serverOps, "Opérations de serveur demandées par le client"
servletadaptor, "Liées à l'adaptateur d'applications serveur Web Ariba"
sessionCache, "Suivi de la mémoire cache objet au niveau de la session"
smtp, "Suivi des activités du serveur de messagerie SMTP"
sourcing, "Suivi de l'information d'approvisionnement"
splitAccounting, "Suivi de l'information de fractionnement de comptabilité"
sqlio, "Entrée/Sortie SQL par l'entremise de TransSQL"
sso, "Suivi de l'authentification unique"
sso_session, "Suivi de la gestion des sessions d'authentification unique"
startup, "Messages de démarrage"
startupAmfBase, "Messages de démarrage du cadre de messagerie"
startupTibco, "Messages de démarrage de canal Tibco"
subscriptionTracker, "Suivi des données liées au SubscriptionTracker"
supplierSync, "Information associée à la synchr. fournisseur"
table, "Suivi d'objet fenêtre AWTDataTable"
tax, "Suivi du calcul et des opérations relatifs aux taxes"
tbp, "Fournisseur des réservations de voyages"
template, "Activités de génération de modèles"
test, "Suivi de test d'unité de faisceau de test API"
tester, "Processus de programme de test"
transaction, "Information de haut niveau sur les transactions dans la base de données"
transformMetrics, "Vider les performances à la transformation du conteneur"
triggers, "Messages relatifs aux déclenchements"
uiLogin, "Suivi des messages de la page de connexion Buyer"
uiTransaction, "Transactions de la base de données envoyées à partir du client"
uiTriggers, "Suivi des déclenchements pour les groupes et les champs"
unspscmanager, "Messages du gestionnaire de version UNSPSC"
upload, "Télécharger les données vers Ariba Buyer"
user, "Suivi des opérations relatives aux utilisateurs, aux groupes, aux rôles et aux droits d'accès"
util, "Messages relatifs aux classes de programme utilitaire"
validation, "Journalisation de l'importation de catalogue et de la validation de hiérarchie"
validity, "Suivi de la validité des pages et des groupes"
visibility, "Suivi de la visibilité des groupes et des champs"
watchdog, "Information de surveillance de base de données/de serveur"
widgets, "(lié aux éléments Ariba web widget)"
wizard, "Événements d'Assistant habituellement sous-classés"
wizardFrame, "Événements de trame d'Assistant habituellement sous-classés"
wizardLow, "Événement d'Assistant de bas niveau"
workflow, "Suivi des événements généraux de flux des opérations"
workflowAction, "Actions et conditions du flux des opérations"
workflowMonitoring, "Enregistrer la catégorie de messages dans la queue de surveillance du flux des opérations"
workforce, "Suivi lié à la main-d'oeuvre"
workforceinvoicing, "Chargement lié à la facturation de la main-d'oeuvre"
xml, "Suivre les opérations de fichier XML"
xmlsec, "Suivi des messages générés par la bibliothèque xmlsecurity de Apache"
xmlsignature, "Suivi de la fonction de signature numérique"
